Time,Abs,pH,Property
0,0,5.00,Liquid 1
15,0.088,5.00,Liquid 1
30,0.114,5.00,Liquid 1
45,0.152,5.00,Liquid 1
60,0.18,5.00,Liquid 1
75,0.219,5.00,Liquid 1
0,0,6.00,Liquid 1
15,0.079,6.00,Liquid 1
30,0.138,6.00,Liquid 1
45,0.187,6.00,Liquid 1
60,0.237,6.00,Liquid 1
75,0.283,6.00,Liquid 1
0,0,6.95,Liquid 1
15,0.18,6.95,Liquid 1
30,0.319,6.95,Liquid 1
45,0.436,6.95,Liquid 1
60,0.513,6.95,Liquid 1
75,0.521,6.95,Liquid 1
0,0,7.19,Liquid 1
15,0.853,7.19,Liquid 1
30,1.041,7.19,Liquid 1
45,1.187,7.19,Liquid 1
60,1.323,7.19,Liquid 1
75,1.442,7.19,Liquid 1
0,0,7.68,Liquid 1
15,1.197,7.68,Liquid 1
30,1.358,7.68,Liquid 1
45,1.514,7.68,Liquid 1
60,1.672,7.68,Liquid 1
75,1.827,7.68,Liquid 1
0,0,7.85,Liquid 1
15,1.165,7.85,Liquid 1
30,1.344,7.85,Liquid 1
45,1.534,7.85,Liquid 1
60,1.626,7.85,Liquid 1
75,1.636,7.85,Liquid 1
0,0,8.05,Liquid 1
15,0.835,8.05,Liquid 1
30,0.969,8.05,Liquid 1
45,1.11,8.05,Liquid 1
60,1.279,8.05,Liquid 1
75,1.343,8.05,Liquid 1
0,0,8.26,Liquid 1
15,0.948,8.26,Liquid 1
30,1.109,8.26,Liquid 1
45,1.266,8.26,Liquid 1
60,1.32,8.26,Liquid 1
75,1.31,8.26,Liquid 1
0,0,8.53,Liquid 1
15,0.954,8.53,Liquid 1
30,1.119,8.53,Liquid 1
45,1.286,8.53,Liquid 1
60,1.358,8.53,Liquid 1
75,1.358,8.53,Liquid 1
0,0,9.03,Liquid 1
15,0.783,9.03,Liquid 1
30,0.93,9.03,Liquid 1
45,0.989,9.03,Liquid 1
60,0.992,9.03,Liquid 1
75,0.989,9.03,Liquid 1
0,0,9.45,Liquid 1
15,0.544,9.45,Liquid 1
30,0.679,9.45,Liquid 1
45,0.705,9.45,Liquid 1
60,0.692,9.45,Liquid 1
75,0.682,9.45,Liquid 1
0,0,5.00,Liquid 2
12,0.039,5.00,Liquid 2
18,0.038,5.00,Liquid 2
24,0.036,5.00,Liquid 2
30,0.038,5.00,Liquid 2
36,0.036,5.00,Liquid 2
42,0.039,5.00,Liquid 2
48,0.037,5.00,Liquid 2
54,0.039,5.00,Liquid 2
0,0,6.00,Liquid 2
18,0.153,6.00,Liquid 2
24,0.179,6.00,Liquid 2
30,0.203,6.00,Liquid 2
36,0.224,6.00,Liquid 2
42,0.244,6.00,Liquid 2
48,0.267,6.00,Liquid 2
54,0.285,6.00,Liquid 2
60,0.304,6.00,Liquid 2
66,0.318,6.00,Liquid 2
72,0.328,6.00,Liquid 2
80,0.335,6.00,Liquid 2
0,0,6.95,Liquid 2
12,0.113,6.95,Liquid 2
18,0.164,6.95,Liquid 2
24,0.215,6.95,Liquid 2
30,0.265,6.95,Liquid 2
36,0.313,6.95,Liquid 2
42,0.356,6.95,Liquid 2
48,0.399,6.95,Liquid 2
54,0.411,6.95,Liquid 2
60,0.413,6.95,Liquid 2
66,0.411,6.95,Liquid 2
72,0.406,6.95,Liquid 2
0,0,7.19,Liquid 2
15,0.19,7.19,Liquid 2
30,0.351,7.19,Liquid 2
45,0.509,7.19,Liquid 2
60,0.662,7.19,Liquid 2
75,0.801,7.19,Liquid 2
0,0,7.68,Liquid 2
15,0.221,7.68,Liquid 2
30,0.397,7.68,Liquid 2
45,0.57,7.68,Liquid 2
60,0.73,7.68,Liquid 2
75,0.78,7.68,Liquid 2
0,0,7.85,Liquid 2
15,0.22,7.85,Liquid 2
30,0.415,7.85,Liquid 2
45,0.599,7.85,Liquid 2
60,0.685,7.85,Liquid 2
75,0.685,7.85,Liquid 2
0,0,8.05,Liquid 2
15,0.181,8.05,Liquid 2
30,0.345,8.05,Liquid 2
45,0.506,8.05,Liquid 2
60,0.663,8.05,Liquid 2
75,0.799,8.05,Liquid 2
0,0,8.26,Liquid 2
15,0.223,8.26,Liquid 2
30,0.427,8.26,Liquid 2
45,0.622,8.26,Liquid 2
60,0.678,8.26,Liquid 2
75,0.68,8.26,Liquid 2
0,0,8.53,Liquid 2
15,0.294,8.53,Liquid 2
30,0.483,8.53,Liquid 2
45,0.667,8.53,Liquid 2
60,0.821,8.53,Liquid 2
75,0.821,8.53,Liquid 2
0,0,9.03,Liquid 2
12,0.14,9.03,Liquid 2
18,0.206,9.03,Liquid 2
24,0.267,9.03,Liquid 2
30,0.329,9.03,Liquid 2
36,0.383,9.03,Liquid 2
42,0.398,9.03,Liquid 2
48,0.396,9.03,Liquid 2
54,0.397,9.03,Liquid 2
60,0.393,9.03,Liquid 2
0,0,9.45,Liquid 2
12,0.14,9.45,Liquid 2
18,0.203,9.45,Liquid 2
24,0.261,9.45,Liquid 2
30,0.301,9.45,Liquid 2
36,0.299,9.45,Liquid 2
42,0.303,9.45,Liquid 2
48,0.305,9.45,Liquid 2
54,0.305,9.45,Liquid 2
0,0,5.00,Solid
15,0.022,5.00,Solid
30,0.018,5.00,Solid
45,0.018,5.00,Solid
60,0.013,5.00,Solid
75,0.015,5.00,Solid
0,0,6.00,Solid
15,0.244,6.00,Solid
30,0.295,6.00,Solid
45,0.338,6.00,Solid
60,0.379,6.00,Solid
75,0.416,6.00,Solid
0,0,6.95,Solid
15,0.155,6.95,Solid
30,0.247,6.95,Solid
45,0.334,6.95,Solid
60,0.397,6.95,Solid
75,0.387,6.95,Solid
0,0,7.19,Solid
15,0.169,7.19,Solid
30,0.322,7.19,Solid
45,0.469,7.19,Solid
60,0.609,7.19,Solid
75,0.726,7.19,Solid
0,0,7.68,Solid
15,0.157,7.68,Solid
30,0.328,7.68,Solid
45,0.469,7.68,Solid
60,0.611,7.68,Solid
75,0.63,7.68,Solid
0,0,7.85,Solid
15,0.231,7.85,Solid
30,0.36,7.85,Solid
45,0.501,7.85,Solid
60,0.619,7.85,Solid
75,0.618,7.85,Solid
0,0,8.05,Solid
15,0.197,8.05,Solid
30,0.365,8.05,Solid
45,0.524,8.05,Solid
60,0.679,8.05,Solid
75,0.726,8.05,Solid
0,0,8.26,Solid
15,0.199,8.26,Solid
30,0.359,8.26,Solid
45,0.517,8.26,Solid
60,0.603,8.26,Solid
75,0.604,8.26,Solid
0,0,8.53,Solid
15,0.188,8.53,Solid
30,0.345,8.53,Solid
45,0.492,8.53,Solid
60,0.641,8.53,Solid
75,0.664,8.53,Solid
0,0,9.03,Solid
15,0.125,9.03,Solid
30,0.239,9.03,Solid
45,0.348,9.03,Solid
60,0.345,9.03,Solid
75,0.345,9.03,Solid
0,0,9.45,Solid
15,0.146,9.45,Solid
30,0.241,9.45,Solid
45,0.298,9.45,Solid
60,0.297,9.45,Solid
75,0.294,9.45,Solid