Time,Abs,Temperature,Property
0,0,45,Liquid 2
12,0.19,45,Liquid 2
18,0.253,45,Liquid 2
24,0.315,45,Liquid 2
30,0.374,45,Liquid 2
36,0.43,45,Liquid 2
42,0.486,45,Liquid 2
48,0.541,45,Liquid 2
54,0.596,45,Liquid 2
60,0.648,45,Liquid 2
66,0.695,45,Liquid 2
72,0.74,45,Liquid 2
80,0.77,45,Liquid 2
0,0,60,Liquid 2
12,0.257,60,Liquid 2
18,0.32,60,Liquid 2
24,0.379,60,Liquid 2
30,0.436,60,Liquid 2
36,0.491,60,Liquid 2
42,0.543,60,Liquid 2
48,0.593,60,Liquid 2
54,0.645,60,Liquid 2
60,0.696,60,Liquid 2
66,0.744,60,Liquid 2
72,0.824,60,Liquid 2
80,0.844,60,Liquid 2
0,0,70,Liquid 2
12,0.375,70,Liquid 2
18,0.484,70,Liquid 2
24,0.585,70,Liquid 2
30,0.677,70,Liquid 2
36,0.766,70,Liquid 2
42,0.84,70,Liquid 2
48,0.869,70,Liquid 2
54,0.862,70,Liquid 2
60,0.879,70,Liquid 2
66,0.876,70,Liquid 2
72,0.872,70,Liquid 2
0,0,80,Liquid 2
12,0.438,80,Liquid 2
18,0.545,80,Liquid 2
24,0.66,80,Liquid 2
30,0.769,80,Liquid 2
36,0.865,80,Liquid 2
42,0.897,80,Liquid 2
48,0.898,80,Liquid 2
54,0.892,80,Liquid 2
60,0.883,80,Liquid 2
66,0.884,80,Liquid 2
72,0.892,80,Liquid 2
80,0.893,80,Liquid 2
0,0,90,Liquid 2
12,0.587,90,Liquid 2
18,0.695,90,Liquid 2
24,0.793,90,Liquid 2
30,0.88,90,Liquid 2
36,0.931,90,Liquid 2
42,0.933,90,Liquid 2
48,0.928,90,Liquid 2
54,0.936,90,Liquid 2