5,&,0.002413097,&,0.001219113,&,0.000650633,\\
6,&,0.00185816,&,0.002790232,&,0.006443544,\\
6.95,&,0.004194295,&,0.002866311,&,0.00361038,\\
7.19,&,0.023943831,&,0.004034937,&,0.00350962,\\
7.68,&,0.034488439,&,0.004784557,&,0.003026582,\\
7.85,&,0.033373705,&,0.004602532,&,0.005446329,\\
8.05,&,0.02387092,&,0.003757722,&,0.004174937,\\
8.26,&,0.027024743,&,0.004613924,&,0.004295949,\\
8.53,&,0.027170025,&,0.006730633,&,0.004011139,\\
9.03,&,0.022199899,&,0.003620616,&,0.002589114,\\
9.45,&,0.015139646,&,0.003781534,&,0.003333165,